Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/chat/completions,28,0,49000,43074.74866071425,6291.156899998896,49616.833699983545,1279.8214285714287,0.16235316213090073,0.0,49000,49000,49000,49000,50000,50000,50000,50000,50000,50000,50000
,Aggregated,28,0,49000,43074.74866071425,6291.156899998896,49616.833699983545,1279.8214285714287,0.16235316213090073,0.0,49000,49000,49000,49000,50000,50000,50000,50000,50000,50000,50000
