Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1789978658,4,,Aggregated,0.200000,0.000000,19000,19000,25000,25000,25000,25000,25000,25000,25000,25000,25000,4,0,19000,15748.673124980996,6402.569899975788,25002.07980000414,1275.25
1789978659,4,,Aggregated,0.200000,0.000000,19000,19000,25000,25000,25000,25000,25000,25000,25000,25000,25000,4,0,19000,15748.673124980996,6402.569899975788,25002.07980000414,1275.25
1789978660,4,,Aggregated,0.200000,0.000000,19000,19000,25000,25000,25000,25000,25000,25000,25000,25000,25000,4,0,19000,15748.673124980996,6402.569899975788,25002.07980000414,1275.25
1789978661,4,,Aggregated,0.200000,0.000000,19000,19000,25000,25000,25000,25000,25000,25000,25000,25000,25000,4,0,19000,15748.673124980996,6402.569899975788,25002.07980000414,1275.25
1789978662,4,,Aggregated,0.200000,0.000000,19000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,5,0,19000,17544.481639983132,6402.569899975788,25002.07980000414,1276.6
1789978663,4,,Aggregated,0.200000,0.000000,19000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,5,0,19000,17544.481639983132,6402.569899975788,25002.07980000414,1276.6
1789978664,4,,Aggregated,0.200000,0.000000,19000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,5,0,19000,17544.481639983132,6402.569899975788,25002.07980000414,1276.6
1789978665,4,,Aggregated,0.200000,0.000000,19000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,5,0,19000,17544.481639983132,6402.569899975788,25002.07980000414,1276.6
1789978666,4,,Aggregated,0.200000,0.000000,19000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,5,0,19000,17544.481639983132,6402.569899975788,25002.07980000414,1276.6
1789978667,4,,Aggregated,0.200000,0.000000,19000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,5,0,19000,17544.481639983132,6402.569899975788,25002.07980000414,1276.6
1789978668,4,,Aggregated,0.200000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,6,0,25000,18734.064399982646,6402.569899975788,25002.07980000414,1282.3333333333333
1789978669,4,,Aggregated,0.200000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,6,0,25000,18734.064399982646,6402.569899975788,25002.07980000414,1282.3333333333333
1789978670,4,,Aggregated,0.200000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,6,0,25000,18734.064399982646,6402.569899975788,25002.07980000414,1282.3333333333333
1789978671,4,,Aggregated,0.200000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,6,0,25000,18734.064399982646,6402.569899975788,25002.07980000414,1282.3333333333333
1789978672,4,,Aggregated,0.200000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,6,0,25000,18734.064399982646,6402.569899975788,25002.07980000414,1282.3333333333333
1789978673,4,,Aggregated,0.200000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,6,0,25000,18734.064399982646,6402.569899975788,25002.07980000414,1282.3333333333333
1789978674,4,,Aggregated,0.200000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,7,0,25000,19591.604242841382,6402.569899975788,25002.07980000414,1287.857142857143
