Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/chat/completions,27,0,6400,6555.706344441407,6051.673199981451,7841.663900006097,1282.8148148148148,0.15253226380908028,0.0,6400,6700,6700,6800,7300,7500,7800,7800,7800,7800,7800
,Aggregated,27,0,6400,6555.706344441407,6051.673199981451,7841.663900006097,1282.8148148148148,0.15253226380908028,0.0,6400,6700,6700,6800,7300,7500,7800,7800,7800,7800,7800
